"variable","ap","count","frac"
"G.F10.1.2","processing",83,0.0166232725816143
"G.F10.1.2","unknown",1007,0.201682355297416
"G.F10.1.3","non-processing",3583,0.719333467175266
"G.F10.1.3","processing",142,0.0285083316603092
"G.F10.1.3","unknown",1256,0.252158201164425
"G.F10.100.1","non-processing",3672,0.738535800482703
"G.F10.100.1","processing",108,0.0217216411906677
"G.F10.100.1","unknown",1192,0.239742558326629
"G.F10.100.2","non-processing",3696,0.741126930018047
"G.F10.100.2","processing",183,0.0366954080609585
"G.F10.100.2","unknown",1108,0.222177661920995
"G.F10.100.3","non-processing",3624,0.72654370489174
"G.F10.100.3","processing",159,0.0318765036086608
"G.F10.100.3","unknown",1205,0.241579791499599
"G.G2.W.1","non-processing",2099,0.421824758842444
"G.G2.W.1","processing",556,0.111736334405145
"G.G2.W.1","unknown",2321,0.466438906752412
"G.G2.W.2","non-processing",1879,0.378220611916264
"G.G2.W.2","processing",630,0.126811594202899
"G.G2.W.2","unknown",2459,0.494967793880837
"G.G2.W.3","non-processing",2134,0.429030960997185
"G.G2.W.3","processing",535,0.107559308403699
"G.G2.W.3","unknown",2305,0.463409730599115
"G.G2.A.1","non-processing",2084,0.418557943362121
"G.G2.A.1","processing",648,0.130146615786302
"G.G2.A.1","unknown",2247,0.451295440851577
"G.G2.A.2","non-processing",2081,0.418207395498392
"G.G2.A.2","processing",496,0.0996784565916399
"G.G2.A.2","unknown",2399,0.482114147909968
"G.G2.A.3","non-processing",1910,0.383688228204098
"G.G2.A.3","processing",567,0.113901165126557
"G.G2.A.3","unknown",2501,0.502410606669345
"G.G2.1.1","non-processing",2383,0.4785140562249
"G.G2.1.1","processing",573,0.115060240963855
"G.G2.1.1","unknown",2024,0.406425702811245
"G.G2.1.2","non-processing",1840,0.3687374749499
"G.G2.1.2","processing",529,0.106012024048096
"G.G2.1.2","unknown",2621,0.525250501002004
"G.G2.1.3","non-processing",1789,0.359597989949749
"G.G2.1.3","processing",515,0.103517587939698
"G.G2.1.3","unknown",2671,0.536884422110553
"G.G2.100.1","non-processing",1447,0.290270812437312
"G.G2.100.1","processing",677,0.1358074222668
"G.G2.100.1","unknown",2861,0.573921765295888
"G.G2.100.2","non-processing",2875,0.576267789136099
"G.G2.100.2","processing",424,0.0849869713369413
"G.G2.100.2","unknown",1690,0.338745239526959
"G.G2.100.3","non-processing",3029,0.606770833333333
"G.G2.100.3","processing",425,0.085136217948718
"G.G2.100.3","unknown",1538,0.308092948717949
"G.G2.200.1","non-processing",2461,0.493087557603687
"G.G2.200.1","processing",795,0.15928671608896
"G.G2.200.1","unknown",1735,0.347625726307353
"G.G2.200.2","non-processing",1448,0.28994793752503
"G.G2.200.2","processing",168,0.0336403684421306
"G.G2.200.2","unknown",3378,0.676411694032839
"G.G2.200.3","non-processing",1150,0.230276331597917
"G.G2.200.3","processing",203,0.0406487785342411
"G.G2.200.3","unknown",3641,0.729074889867841
"G.G6.W.1","non-processing",2249,0.451425130469691
"G.G6.W.1","processing",633,0.12705740666399
"G.G6.W.1","unknown",2100,0.421517462866319
"G.G6.W.2","non-processing",2480,0.498392282958199
"G.G6.W.2","processing",584,0.117363344051447
"G.G6.W.2","unknown",1912,0.384244372990354
"G.G6.W.3","non-processing",2456,0.493271741313517
